26 90																											
hESC_nmr_UH_x3800.cnx	hESC_nmr_UH_x3801.cnx	hESC_nmr_UH_x3802.cnx	hESC_nmr_UH_x3803.cnx	hESC_nmr_UH_x3804.cnx	EB_nmr_UH_x3723.cnx	EB_nmr_UH_x3724.cnx	EB_nmr_UH_x3725.cnx	EB_nmr_UH_x3726.cnx	Rosette_nmr_UH_x3748.cnx	Rosette_nmr_UH_x3750.cnx	Rosette_nmr_UH_x3751.cnx	hNPC_UH-10072013_NMR_x6758.cnx	hNPC_UH-10072013_NMR_x6759.cnx	hNPC_UH-10072013_NMR_x6760.cnx	hNPC_UH-10072013_NMR_x6761.cnx	hNPC_UH-10072013_NMR_x6766.cnx	hNPC_UH-10072013_NMR_x6769.cnx	hNPC_UH-10072013_NMR_x6770.cnx	hNPC_UH-10072013_NMR_x6771.cnx	Neuron_nmr_UH_x3930.cnx	Neuron_nmr_UH_x3931.cnx	Neuron_nmr_UH_x3932.cnx	Neuron_nmr_UH_x3933.cnx	Neuron_nmr_UH_x3934.cnx	Neuron_nmr_UH_x3935.cnx		
Aspartate	-0.221491808	-0.204489351	-0.19916394	-0.192516589	-0.2019084	0.060812023	0.218894118	0.249155726	0.417478146	-0.431084078	-0.447028057	-0.431608462	0.476475124	0.414027242	0.269116224	1.131242636	0.15230065	0.106098029	0.291772107	0.298564047	0.003003749	-0.145271186	-0.088887408	-0.28497174	0.06103213	-0.089680881	0.123724476
ATP	-0.548628994	-0.505240689	-0.503497903	-0.514171781	-0.514085975	-0.284856316	-0.100918717	-0.154880586	0.749982865	-0.147060893	-0.293615187	-0.297776381	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.949184552	0.869409234	0.936736529	1.247110619	1.568479844	0.870816845	0.467332663
Butanone	-0.363954776	-0.335461708	-0.338435415	-0.337261425	-0.337856698	0.118423412	0.027006417	-0.020201816	0.084973428	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.053148634
Caprate	-0.35867837	-0.33061088	-0.333277212	-0.331900505	-0.332821576	0.92498287	0.538706953	0.383834497	0.500604326	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.292650933	0.503458919	0.321362167	0.57060672	-0.228067432	0.669422161	0.234574937
Carnitine	-0.490588525	-0.451881581	-0.462232281	-0.465923502	-0.458699631	-0.284856316	-0.356768985	-0.289559357	-0.33065747	-0.317474804	-0.25526197	-0.26431836	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.016885843
Carnosine	-0.538076181	-0.495539033	-0.508656106	-0.514171781	-0.50401573	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.344572873	-0.41141687	-0.447855786	-0.404354781	-0.351967244	-0.415010756	0.003782624
Choline	-0.453653682	-0.442179924	-0.446757673	-0.487367182	-0.468769875	-0.112022147	-0.03695615	-0.020201816	0.001847248	-0.03345162	0.089916988	0.137177883	-0.201811081	-0.16296377	-0.258427431	-0.044639989	-0.133263069	-0.245700699	-0.187641426	-0.242458052	-0.576290621	-0.561123817	-0.567511912	-0.583429343	-0.5791169	-0.523454047	0.054665695
Citrate	-0.369231182	-0.340312536	-0.343593618	-0.342622345	-0.342891821	0.003200633	-0.164881284	-0.087541201	0.001847248	0.080157654	-0.063495882	-0.1639443	2.473651172	1.772748011	1.541427391	3.140042121	1.960870867	0.407639796	0.647466019	0.77947258	-0.576290621	-0.577757922	-0.48204325	-0.563532169	-0.434567119	-0.430502655	1.064989022
Citrulline	-0.516970557	-0.476135721	-0.488023295	-0.492728101	-0.483875242	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.228713999	-0.378148659	-0.379480857	-0.344663261	-0.290017338	-0.353043161	0.007342229
Creatine	-0.342849151	-0.316058396	-0.317802604	-0.315817746	-0.31771621	-0.342467706	-0.356768985	-0.222219972	-0.33065747	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.421812123	-0.44468508	-0.48204325	-0.364560434	-0.41391715	-0.445994553	0.008290091
Creatine-phosphate	-0.522246963	-0.480986549	-0.493181498	-0.498089021	-0.488910364	0.060812023	-0.356768985	-0.356898743	-0.24753129	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.65352987	-0.461319185	-0.499136982	-0.643120863	-0.145467557	-0.585421643	0.02295043
Creatinine	-0.527523369	-0.485837377	-0.498339701	-0.503449941	-0.493945486	0.291257582	-0.164881284	-0.087541201	-0.24753129	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.305953249	-0.328246343	-0.276918463	-0.265074567	-0.062867682	-0.306567464	0.039712764
Cytidine	-0.580287431	-0.534345657	-0.549921728	-0.55705914	-0.544296708	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.595600433	-0.594392027	-0.584605644	-0.583429343	-0.620416837	-0.538945946	0.002740113
Cytosine	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	0.250571565	0.20497664	0.271009965	0.005443037	-0.125738543	-0.149815502	0.445311105	0.009518791	-0.044672854	-0.203106379	-0.002003786	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.124342361
Ethanolamine	0.380018502	0.261190141	0.357921959	0.381101837	0.800080915	2.019599276	1.626070592	0.383834497	-0.081278931	-0.431084078	-0.447028057	-0.431608462	0.872142077	0.86072996	0.439792112	-0.044639989	0.533052275	0.106098029	0.446421634	0.358677614	3.729797527	4.246132598	3.022171866	4.132200776	4.232325806	5.3324837	2.93156007
Fumarate	-0.51169415	-0.471284893	-0.482865092	-0.487367182	-0.47884012	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.65352987	-0.611026133	-0.601699376	-0.62322369	-0.537816962	-0.569929744	0.003522678
Glutamate	3.197619426	3.797443779	2.648163987	3.340329602	3.619749337	-0.572913265	-0.484694119	-0.491577514	-0.496909829	1.727492125	1.470632817	2.278491183	2.322920905	0.879342574	1.6810713	1.523203511	1.627713196	1.563549902	1.900127186	1.621062512	0.562988306	0.470190708	0.150424844	0.431326506	0.06103213	0.359584184	1.728496447
Glutamine	-0.342849151	-0.316058396	-0.317802604	-0.315817746	-0.31771621	-0.572913265	-0.484694119	-0.491577514	-0.496909829	0.420985476	0.128270205	0.070261843	0.099649455	-0.553828648	0.253600234	0.788276871	0.104706697	0.256868913	-0.110316662	0.178336914	-0.499051372	-0.577757922	-0.550418179	-0.603326516	-0.537816962	-0.538945946	0.145236294
Glutarate	-0.268979464	-0.248146803	-0.245587765	-0.278291307	-0.247224499	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.421812123	-0.361514554	-0.379480857	-0.364560434	-0.372617213	-0.22910797	0.012458662
Glutaric-acid-monomethyl-ester	-0.348125557	-0.296655083	-0.322960807	-0.321178666	-0.297575721	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.47974156	-0.461319185	-0.464949518	-0.364560434	-0.496517025	-0.430502655	0.006875571
Glutathione	-0.063199621	-0.05896451	-0.044417857	-0.031688993	-0.217013766	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	1.818126107	1.235359549	0.817080403	1.267007792	1.733679594	0.979260137	0.597618239
Glycerol	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	4.851747156	2.812995429	2.412323265	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	1.772959164
Glycine	0.712432094	0.654107212	0.71383795	0.756366227	0.689308227	0.060812023	0.218894118	0.04713757	0.251225787	0.420985476	0.128270205	0.070261843	0.815618227	0.97240564	0.920787797	1.033252418	1.342149477	1.161494213	1.63722299	1.019926846	3.189122782	2.615990285	2.611922292	3.535285571	2.910727809	2.265087737	1.070549477
Histidine	-0.548628994	-0.505240689	-0.518972512	-0.54097638	-0.514085975	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.201811081	-0.237414223	-0.3049754	-0.142630207	-0.180857022	-0.145186777	-0.110316662	-0.062117352	-0.556980809	-0.511221501	-0.567511912	-0.543634996	-0.496517025	-0.445994553	0.02752287
Homoserine	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	1.045836482	0.81862812	0.505216107	0.532998975	1.251594839	0.998367747	0.347320886	0.390270415	0.910209407	1.714547754	0.839586146	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.591118077
I-Methylhistidine	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	0.013210553	-0.097028259	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.023781797
II-Methylhistidine	-0.485312119	-0.447030753	-0.457074079	-0.267569467	-0.453664509	-0.284856316	-0.420731552	-0.020201816	-0.24753129	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.614910246	-0.594392027	-0.567511912	-0.603326516	-0.475867056	-0.554437845	0.017342985
I-Alanine	0.073986941	0.067157019	-0.395175645	0.102334004	-0.247224499	-0.400079096	-0.292806418	-0.289559357	-0.24753129	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.074235501	0.070972182	0.27008097	-0.205383046	0.164281973	-0.120664678	0.066703062
Imidazole	-0.543352588	-0.500389861	-0.513814309	-0.519532701	-0.509050853	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.004881515
Isocitrate	-0.23204462	-0.214191007	-0.209480346	-0.203238429	-0.211978644	-0.572913265	-0.484694119	-0.491577514	-0.496909829	0.53459475	0.20497664	-0.030112218	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.016306064	0.054338077	0.64614308	0.093074556	-0.186767495	0.483519375	0.133221164
Isoleucine	-0.184556964	-0.170533554	-0.163056521	-0.203238429	-0.166662544	0.003200633	0.027006417	-0.087541201	-0.081278931	0.136962291	0.435095945	0.438300066	0.589522825	0.525702922	0.62598399	-0.191625317	0.295082509	0.307125874	0.94130012	0.41879118	-0.228713999	-0.294978133	-0.32819966	-0.185485873	-0.393267182	-0.430502655	0.135519746
Lactate	3.002392396	2.759366579	2.952497951	3.083005449	2.874551254	3.51749541	3.1611722	3.818143154	3.326894432	1.954710673	3.426646909	3.315689813	1.851888818	1.456333585	1.72761927	2.307125261	5.340041537	4.327682765	1.668152896	3.725037342	2.397420477	1.518139338	2.782859615	3.157239275	1.279380283	2.512958118	0.9129617
Leucine	0.543587095	0.498880714	0.507509839	0.477598394	0.528184317	0.86737148	0.730594654	0.653192039	0.417478146	0.70500866	1.624045687	1.508956716	2.511333739	2.759216514	2.844770538	1.670188839	1.865682961	1.714320786	3.230113117	2.041857478	0.157482247	0.137508603	0.167518576	0.252251944	0.102332067	0.065238107	0.926464299
Lysine	-0.210938996	-0.194787695	-0.188847535	-0.181794749	-0.282470354	0.982594259	0.60266952	0.451173882	0.168099608	0.875422571	1.4322796	1.542414736	3.717175882	3.503721045	2.953382467	0.347320886	0.009518791	1.161494213	4.018825703	1.500835379	0.196101872	0.270581445	0.201706041	0.252251944	-0.083517651	0.173681399	1.64781318
Malate	-0.026264778	-0.13172693	-0.008310438	-0.074576352	-0.126381567	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	1.475063148	0.488477695	0.346696173	0.004355121	-0.180857022	0.15635499	-0.141246568	-0.002003786	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.224822658
Maltose	-0.152898527	-0.413074956	-0.173372926	-0.406953384	-0.161627422	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.020412371
Mannitol	-0.385060401	-0.393671644	-0.359068226	-0.358705105	-0.468769875	0.291257582	0.474744386	0.518513268	0.500604326	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.267333624	-0.178539396	-0.174356069	-0.444149128	-0.228067432	-0.167140375	0.113196297
Methionine	-0.295361495	-0.340312536	-0.271378779	-0.337261425	-0.342891821	0.233646192	0.027006417	-0.020201816	0.168099608	-0.431084078	-0.447028057	-0.431608462	1.248967747	1.251594839	1.231107594	-0.289615535	0.295082509	0.307125874	0.786650593	0.178336914	-0.363882686	-0.361514554	-0.430762053	-0.404354781	-0.351967244	-0.399518857	0.304634926
myo-Inositol	0.000117253	-0.000754573	-0.121790899	-0.053132672	0.009566732	-0.112022147	0.027006417	0.181816341	0.168099608	0.250571565	0.05156377	0.103719863	0.099649455	-0.069900703	-0.025687583	0.05335023	-0.180857022	0.106098029	-0.264966189	0.058109781	3.247052219	2.998574705	2.851234544	2.520529723	3.096577528	1.70737938	1.443870936
N-Acetylaspartate	-0.369231182	-0.340312536	-0.343593618	-0.444479823	-0.342891821	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.499051372	-0.544489712	-0.447855786	-0.384457608	-0.517166994	-0.384026958	0.005181446
N-Acetylcysteine	-0.094858059	-0.088069478	-0.075367074	-0.063854512	-0.081065467	0.982594259	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.447129432	0.25394734	0.372643364	0.431326506	0.763131065	0.251140893	0.205822754
N-Acetylglutamate	-0.353401964	-0.325760052	-0.328119009	-0.326539586	-0.327786454	0.291257582	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.016306064	-0.09536887	0.030768718	0.152766077	-0.537816962	0.127205702	0.062865259
N-Acetylglycine	0.021222878	-0.034710369	0.038113387	0.129138603	-0.262329866	0.060812023	0.218894118	0.181816341	-0.24753129	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.248023812	-0.278344028	-0.276918463	-0.424251955	-0.269367369	-0.260091768	0.062904038
N-Carbamoylaspartate	-0.327019932	-0.301505911	-0.302327996	-0.299734986	-0.302610843	0.060812023	0.090968984	0.249155726	0.084973428	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.267333624	-0.511221501	-0.550418179	-0.503840649	-0.620416837	-0.476978351	0.054833207
Nicotinic_ac_adenine_dinuc	-0.585563838	-0.539196485	-0.555079931	-0.56242006	-0.54933183	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.614910246	-0.594392027	-0.601699376	-0.603326516	-0.620416837	-0.554437845	0.003092446
Nicotinurate	-0.369231182	-0.485837377	-0.446757673	-0.358705105	-0.403313287	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.007903741
N-Phenylacetylphenylalanine	-0.321743526	-0.437329096	-0.472548687	-0.294374066	-0.443594264	-0.457690486	-0.356768985	-0.356898743	-0.33065747	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.012096148
O-Phosphocholine	1.377259278	1.381731417	1.477251959	1.292458214	1.394225332	-0.054410757	0.090968984	0.04713757	0.084973428	0.70500866	0.473449163	0.438300066	1.983777802	2.05193721	1.541427391	5.393817152	2.865155976	1.764577747	0.616536114	1.320494679	0.311960746	0.154142709	0.082049915	0.17266325	0.164281973	0.03425431	1.416041291
O-Phosphoethanolamine	0.369465689	0.338803389	0.37855477	0.407906436	0.266357963	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	1.21128518	2.368351635	2.006907087	2.013154605	1.342149477	1.060980291	-0.032991899	0.41879118	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.882293216
Ornithine	-0.042093996	-0.039561198	-0.023785046	-0.010245314	0.095163809	0.92498287	0.474744386	0.585852653	0.583730506	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	1.412620048	1.002482076	0.406830828	0.789475629	0.432731566	0.529995071	0.347794039
Phenylalanine	-0.31646712	-0.393671644	-0.29201159	-0.294374066	-0.398278165	-0.400079096	-0.292806418	-0.289559357	0.084973428	-0.431084078	-0.447028057	-0.431608462	0.570681542	0.320964176	0.548404041	0.10234534	0.628240181	0.357382835	0.400026776	0.478904747	-0.209404187	-0.161905291	-0.191449801	-0.125794352	-0.145467557	-0.291075565	0.130946612
Putrescine	-0.131792902	-0.180235211	-0.194005737	-0.213960268	-0.2019084	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.025592277
Pyruvate	-0.226768214	-0.209340179	-0.204322143	-0.208599349	-0.206943522	0.406480361	0.218894118	0.249155726	0.500604326	0.307376202	0.35838951	0.170635904	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.325263061	-0.361514554	-0.533324447	-0.483943475	-0.455217088	-0.353043161	0.124021128
Serine	0.91293553	0.838438677	0.909849655	0.129138603	0.88064287	3.63271819	2.457583963	2.471355445	2.994389713	3.999677602	5.344307783	4.152140321	2.341762188	2.721991288	2.270678914	1.425213293	2.103652727	2.417918242	2.889884158	2.402538877	1.663647609	1.401700602	1.261517442	1.505773874	1.114180533	0.886308744	1.498534038
sn-Glycero-3-phosphocholine	-0.464206494	-0.42762744	-0.436441267	-0.439118903	-0.418418653	-0.400079096	-0.292806418	-0.289559357	-0.33065747	-0.317474804	-0.216908752	-0.130486279	-0.296017498	-0.349089902	-0.3049754	-0.142630207	-0.228450975	-0.29595766	-0.09485171	-0.182344485	1.528478922	1.501505233	1.517923426	1.704745609	1.651079719	1.304590011	0.636511782
Tartrate	0.427506158	0.343654217	0.259916106	0.466876554	0.276428208	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.485749057	0.387020182	1.090580119	0.749681282	0.597931316	0.359584184	0.277321991
Taurine	-0.458930088	-0.422776612	-0.446757673	-0.449840742	-0.428488898	0.003200633	0.218894118	-0.087541201	0.334351967	-0.03345162	-0.178555535	-0.19740232	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.595600433	-0.561123817	-0.618793108	-0.543634996	-0.372617213	-0.507962149	0.066414826
Threonate	0.237555534	0.217532688	0.249599701	0.273883439	0.23614723	-0.515301875	-0.420731552	-0.424238128	-0.413783649	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.102490278
Threonine	-0.437824463	-0.4033733	-0.410650254	-0.412314303	-0.408348409	0.80976009	0.794557221	0.249155726	0.833109044	-0.431084078	-0.447028057	-0.431608462	-0.277176215	-0.014062863	-0.32049139	-0.142630207	0.342676462	0.508153718	0.430956681	1.019926846	-0.460431747	0.436922498	-0.413668321	-0.046205658	0.267531817	-0.120664678	0.237148198
Tryptophan	-0.543352588	-0.500389861	-0.472548687	-0.519532701	-0.398278165	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.421812123	-0.461319185	-0.447855786	-0.265074567	-0.248717401	-0.430502655	0.006217583
Tyrosine	-0.210938996	-0.316058396	-0.194005737	-0.192516589	-0.31771621	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	0.118490738	0.265126336	0.346696173	0.151340449	0.15230065	0.055841068	0.430956681	0.178336914	0.080242998	0.104240393	0.116237379	0.033383036	-0.000917776	0.096221905	0.088947888
UDP-galactose	-0.458930088	-0.422776612	-0.431283065	-0.471284422	-0.38820792	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	0.292650933	-0.361514554	-0.259824731	-0.22528022	-0.207417463	-0.182632274	0.032434815
UDP-glucose	-0.427271651	-0.388820816	-0.400333848	-0.53025454	-0.458699631	-0.400079096	-0.292806418	-0.020201816	-0.24753129	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.383192498	-0.344880449	-0.225637266	-0.066102832	0.081682098	-0.306567464	0.028360143
Uridine	-0.485312119	-0.447030753	-0.457074079	-0.428397063	-0.453664509	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.634220058	-0.611026133	-0.618793108	-0.62322369	-0.558466931	-0.569929744	0.004156764
Valine	-0.100134465	-0.126876102	-0.095999885	-0.14962923	-0.121346445	-0.112022147	-0.03695615	-0.087541201	-0.24753129	0.023353017	0.089916988	0.271009965	1.343174164	1.605234491	1.494879422	0.249330668	0.723428087	0.709181563	1.776407565	0.839586146	-0.248023812	-0.311612238	-0.362387124	-0.265074567	-0.434567119	-0.291075565	0.439528309
NAD+	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.447028057	-0.431608462	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.325263061	-0.328246343	-0.32819966	-0.28497174	-0.248717401	-0.275583666	0.011333803
NADH	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.293615187	-0.297776381	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.008973075
NADPH	-0.601393056	-0.553748969	-0.570554539	-0.578502819	-0.564437197	-0.572913265	-0.484694119	-0.491577514	-0.496909829	-0.431084078	-0.216908752	-0.19740232	-0.57863675	-0.553828648	-0.553231238	-0.485595973	-0.514014693	-0.496985505	-0.512405432	-0.482912318	-0.672839683	-0.644294343	-0.652980573	-0.663018037	-0.620416837	-0.600913541	0.012981635
